code,total_area,surface_area,bom_total_cost,bom_source
BS-ET-16208,1,0.79,1248.00,"Paint Epoxy Primer 125.07 Gram, Epoxy Thinner 24.63 Gram, Epoxy Hardner 37.9 Gram, Paint Mixing 43.86 Gram, Paint Matt agent(Matt) 24.09 Gram, Paint Harnder 21.62 Gram, Paint Thinner 12.36 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,248.00"
BS-SM-16198-B,1.67,0.66,850.00,"Paint Epoxy Primer 94.87 Gram, Epoxy Thinner 20.04 Gram, Epoxy Hardner 18.71 Gram, Paint Mixing 30.49 Gram, Paint Matt agent(Matt) 15.25 Gram, Paint Harnder 15.25 Gram, Paint Thinner 12.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 850.00"
BS-SM-16214,4.88,2.93,2601.00,"Paint Epoxy Primer 290.21 Gram, Epoxy Thinner 61.31 Gram, Epoxy Hardner 57.22 Gram, Paint Mixing 93.28 Gram, Paint Matt agent(Matt) 46.64 Gram, Paint Harnder 46.64 Gram, Paint Thinner 37.76 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 2,601.00"
BS-SM-16198-A,3.17,0.85,850.00,"Paint Epoxy Primer 94.87 Gram, Epoxy Thinner 20.04 Gram, Epoxy Hardner 18.71 Gram, Paint Mixing 30.49 Gram, Paint Matt agent(Matt) 15.25 Gram, Paint Harnder 15.25 Gram, Paint Thinner 12.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 850.00"
BS-ET-16229,1,1,1548.00,"Paint Epoxy Primer 155.13 Gram, Epoxy Thinner 30.56 Gram, Epoxy Hardner 47.01 Gram, Paint Mixing 54.4 Gram, Paint Matt agent(Matt) 29.88 Gram, Paint Harnder 26.82 Gram, Paint Thinner 15.33 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,548.00"
BS-SM-16133,7,2.28,2815.00,"Paint Epoxy Primer 314.12 Gram, Epoxy Thinner 66.36 Gram, Epoxy Hardner 61.94 Gram, Paint Mixing 100.96 Gram, Paint Matt agent(Matt) 50.48 Gram, Paint Harnder 50.48 Gram, Paint Thinner 40.87 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 2,815.00"
BS-SM-16212,30,15.03,13205.25,"Paint Epoxy Primer 1473.86 Gram, Epoxy Thinner 311.38 Gram, Epoxy Hardner 290.62 Gram, Paint Mixing 473.72 Gram, Paint Matt agent(Matt) 236.86 Gram, Paint Harnder 236.86 Gram, Paint Thinner 191.74 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 13,205.25"
BS-QS-16042-A-RE,18.47,4.34,,0
BS-SM-16179,22.5,22.49,12487.00,"Paint Epoxy Primer 1393.79 Gram, Epoxy Thinner 294.46 Gram, Epoxy Hardner 274.83 Gram, Paint Mixing 447.99 Gram, Paint Matt agent(Matt) 223.99 Gram, Paint Harnder 223.99 Gram, Paint Thinner 181.33 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 12,487.00"
BS-LHET-301,3.11,3.11,1396.00,"Paint Epoxy Primer 155.81 Gram, Epoxy Thinner 32.92 Gram, Epoxy Hardner 30.72 Gram, Paint Mixing 50.08 Gram, Paint Matt agent(Matt) 25.04 Gram, Paint Harnder 25.04 Gram, Paint Thinner 20.27 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,396.00"
BS-ET-UV-16192,4.43,4.43,4091.00,"Paint Epoxy Primer 456.52 Gram, Epoxy Thinner 96.45 Gram, Epoxy Hardner 90.02 Gram, Paint Mixing 146.73 Gram, Paint Matt agent(Matt) 73.37 Gram, Paint Harnder 73.37 Gram, Paint Thinner 59.39 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 4,091.00"
BS-SM-16180-A,1.28,0.5,1018.00,"Paint Epoxy Primer 113.55 Gram, Epoxy Thinner 23.99 Gram, Epoxy Hardner 22.39 Gram, Paint Mixing 36.5 Gram, Paint Matt agent(Matt) 18.25 Gram, Paint Harnder 18.25 Gram, Paint Thinner 14.77 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,018.00"
BS-SM-16180-B,1.02,0.48,846.00,"Paint Epoxy Primer 94.39 Gram, Epoxy Thinner 19.94 Gram, Epoxy Hardner 18.61 Gram, Paint Mixing 30.34 Gram, Paint Matt agent(Matt) 15.17 Gram, Paint Harnder 15.17 Gram, Paint Thinner 12.28 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 846.00"
BS-ET-16218,1,0.79,1248.00,"Paint Epoxy Primer 125.07 Gram, Epoxy Thinner 24.63 Gram, Epoxy Hardner 37.9 Gram, Paint Mixing 43.86 Gram, Paint Matt agent(Matt) 24.09 Gram, Paint Harnder 21.62 Gram, Paint Thinner 12.36 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,248.00"
BS-US-2491,13.74,10.53,1379.00,"Paint Epoxy Primer 153.9 Gram, Epoxy Thinner 32.51 Gram, Epoxy Hardner 30.35 Gram, Paint Mixing 49.46 Gram, Paint Matt agent(Matt) 24.73 Gram, Paint Harnder 24.73 Gram, Paint Thinner 20.02 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,379.00"
BS-ET-16161,0.73,0.2,669.69,"Paint Epoxy Primer 74.74 Gram, Epoxy Thinner 15.79 Gram, Epoxy Hardner 14.74 Gram, Paint Mixing 24.02 Gram, Paint Matt agent(Matt) 12.01 Gram, Paint Harnder 12.01 Gram, Paint Thinner 9.72 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 669.69"
BS-ET-16206,0.75,0.75,693.25,"Paint Epoxy Primer 69.48 Gram, Epoxy Thinner 13.69 Gram, Epoxy Hardner 21.05 Gram, Paint Mixing 24.37 Gram, Paint Matt agent(Matt) 13.38 Gram, Paint Harnder 12.01 Gram, Paint Thinner 6.86 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 693.25"
BS-ET-16203,0.38,0.38,849.99,"Paint Epoxy Primer 94.87 Gram, Epoxy Thinner 20.04 Gram, Epoxy Hardner 18.71 Gram, Paint Mixing 30.49 Gram, Paint Matt agent(Matt) 15.25 Gram, Paint Harnder 15.25 Gram, Paint Thinner 12.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 849.99"
BS-SN-16162,12.83,3.07,1586.00,"Paint Epoxy Primer 177.09 Gram, Epoxy Thinner 37.41 Gram, Epoxy Hardner 34.92 Gram, Paint Mixing 56.92 Gram, Paint Matt agent(Matt) 28.46 Gram, Paint Harnder 28.46 Gram, Paint Thinner 23.04 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,586.00"
BS-LHET-289,0.72,0.72,1146.53,"Paint Epoxy Primer 114.91 Gram, Epoxy Thinner 22.63 Gram, Epoxy Hardner 34.82 Gram, Paint Mixing 40.3 Gram, Paint Matt agent(Matt) 22.14 Gram, Paint Harnder 19.87 Gram, Paint Thinner 11.35 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,146.53"
BS-SI-16237,9.72,3.32,4334.00,"Paint Epoxy Primer 483.64 Gram, Epoxy Thinner 102.18 Gram, Epoxy Hardner 95.36 Gram, Paint Mixing 155.45 Gram, Paint Matt agent(Matt) 77.72 Gram, Paint Harnder 77.72 Gram, Paint Thinner 62.92 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,334.00"
BS-QS-16248,3.7,2.79,5292.02,"Paint Epoxy Primer 590.65 Gram, Epoxy Thinner 124.79 Gram, Epoxy Hardner 116.47 Gram, Paint Mixing 189.84 Gram, Paint Matt agent(Matt) 94.92 Gram, Paint Harnder 94.92 Gram, Paint Thinner 76.84 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,292.02"
BS-ET-16118-A,3.65,3.65,5016.20,"Paint Epoxy Primer 559.87 Gram, Epoxy Thinner 118.28 Gram, Epoxy Hardner 110.4 Gram, Paint Mixing 179.95 Gram, Paint Matt agent(Matt) 89.97 Gram, Paint Harnder 89.97 Gram, Paint Thinner 72.84 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,016.20"
BS-ET-16118-C,5.22,4.61,6065.80,"Paint Epoxy Primer 677.01 Gram, Epoxy Thinner 143.03 Gram, Epoxy Hardner 133.5 Gram, Paint Mixing 217.6 Gram, Paint Matt agent(Matt) 108.8 Gram, Paint Harnder 108.8 Gram, Paint Thinner 88.08 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 6,065.80"
BS-ET-16118-B,5.22,9.22,13908.85,"Paint Epoxy Primer 1552.39 Gram, Epoxy Thinner 327.97 Gram, Epoxy Hardner 306.1 Gram, Paint Mixing 498.96 Gram, Paint Matt agent(Matt) 249.48 Gram, Paint Harnder 249.48 Gram, Paint Thinner 201.96 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 13,908.85"
BS-ET-16233,2.88,2.88,3008.43,"Paint Epoxy Primer 335.78 Gram, Epoxy Thinner 70.94 Gram, Epoxy Hardner 66.21 Gram, Paint Mixing 107.92 Gram, Paint Matt agent(Matt) 53.96 Gram, Paint Harnder 53.96 Gram, Paint Thinner 43.68 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 3,008.43"
BS-ET-16250 A,0.42,0.38,847.84,"Paint Epoxy Primer 94.63 Gram, Epoxy Thinner 19.99 Gram, Epoxy Hardner 18.66 Gram, Paint Mixing 30.42 Gram, Paint Matt agent(Matt) 15.21 Gram, Paint Harnder 15.21 Gram, Paint Thinner 12.31 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 847.84"
BS-ET-16250 C,1,0.38,1414.50,"Paint Epoxy Primer 157.87 Gram, Epoxy Thinner 33.35 Gram, Epoxy Hardner 31.13 Gram, Paint Mixing 50.74 Gram, Paint Matt agent(Matt) 25.37 Gram, Paint Harnder 25.37 Gram, Paint Thinner 20.54 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,414.50"
BS-ET-16250 B,0.75,0.38,1397.32,"Paint Epoxy Primer 155.96 Gram, Epoxy Thinner 32.95 Gram, Epoxy Hardner 30.75 Gram, Paint Mixing 50.13 Gram, Paint Matt agent(Matt) 25.06 Gram, Paint Harnder 25.06 Gram, Paint Thinner 20.29 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,397.32"
BS-LHET-304,2.25,1.77,1133.31,"Paint Epoxy Primer 126.49 Gram, Epoxy Thinner 26.72 Gram, Epoxy Hardner 24.94 Gram, Paint Mixing 40.66 Gram, Paint Matt agent(Matt) 20.33 Gram, Paint Harnder 20.33 Gram, Paint Thinner 16.46 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 1,133.31"
BS-SM-16254,10.5,4.06,4115.13,"Paint Epoxy Primer 459.3 Gram, Epoxy Thinner 97.03 Gram, Epoxy Hardner 90.57 Gram, Paint Mixing 147.62 Gram, Paint Matt agent(Matt) 73.81 Gram, Paint Harnder 73.81 Gram, Paint Thinner 59.75 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,115.13"
BS-SM-16255,2.78,1.95,1396.04,"Paint Epoxy Primer 155.81 Gram, Epoxy Thinner 32.92 Gram, Epoxy Hardner 30.72 Gram, Paint Mixing 50.08 Gram, Paint Matt agent(Matt) 25.04 Gram, Paint Harnder 25.04 Gram, Paint Thinner 20.27 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 1,396.04"
BS-ET-16205,3.33,0.94,855.90,"Paint Epoxy Primer 85.78 Gram, Epoxy Thinner 16.9 Gram, Epoxy Hardner 25.99 Gram, Paint Mixing 30.08 Gram, Paint Matt agent(Matt) 16.53 Gram, Paint Harnder 14.83 Gram, Paint Thinner 8.47 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 855.90"
Gift-53,0.31,0.17,,
BS-QS-15873,10,19.9,21977.70,"Paint Epoxy Primer 2452.96 Gram, Epoxy Thinner 518.23 Gram, Epoxy Hardner 483.68 Gram, Paint Mixing 788.42 Gram, Paint Matt agent(Matt) 394.21 Gram, Paint Harnder 394.21 Gram, Paint Thinner 319.12 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 21,977.70"
BS-SI-16251,0,0.07,566.66,"Paint Epoxy Primer 63.25 Gram, Epoxy Thinner 13.36 Gram, Epoxy Hardner 12.47 Gram, Paint Mixing 20.33 Gram, Paint Matt agent(Matt) 10.16 Gram, Paint Harnder 10.16 Gram, Paint Thinner 8.23 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 566.66"
BS-US-2504 A,14.56,2.91,1593.00,"Paint Epoxy Primer 167.89 Gram, Epoxy Thinner 35.47 Gram, Epoxy Hardner 33.1 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 57.82 Gram, Paint Matt agent(Matt) 17.99 Gram, Paint Binder(Gloss) 11.56 Gram, Paint Harnder 29.55 Gram, Paint Thinner 11.56 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,593.00"
BS-US-2504 B,14.56,2.91,1593.00,"Paint Epoxy Primer 167.89 Gram, Epoxy Thinner 35.47 Gram, Epoxy Hardner 33.1 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 57.82 Gram, Paint Matt agent(Matt) 17.99 Gram, Paint Binder(Gloss) 11.56 Gram, Paint Harnder 29.55 Gram, Paint Thinner 11.56 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,593.00"
BS-SI-16236,6,6,3090.86,"Paint Epoxy Primer 344.97 Gram, Epoxy Thinner 72.88 Gram, Epoxy Hardner 68.02 Gram, Paint Mixing 110.88 Gram, Paint Matt agent(Matt) 55.44 Gram, Paint Harnder 55.44 Gram, Paint Thinner 44.88 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 3,090.86"
BS-SM-16247,,,5466.42,"Paint Epoxy Primer 522.02 Gram, Epoxy Thinner 110.29 Gram, Epoxy Hardner 102.93 Gram, Paint Mixing 250 Gram, Paint Matt agent(Matt) 83.89 Gram, Paint Harnder 83.89 Gram, Paint Thinner 67.91 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,466.42"
BS-US-2503 A,184.08,12.33,43845.05,"Paint Epoxy Primer 4620.99 Gram, Epoxy Thinner 976.26 Gram, Epoxy Hardner 911.18 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 1591.34 Gram, Paint Matt agent(Matt) 495.08 Gram, Paint Binder(Gloss) 318.27 Gram, Paint Harnder 813.35 Gram, Paint Thinner 318.27 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 43,845.05"
BS-US-2503 B,184.08,12.33,43845.05,"Paint Epoxy Primer 4620.99 Gram, Epoxy Thinner 976.26 Gram, Epoxy Hardner 911.18 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 1591.34 Gram, Paint Matt agent(Matt) 495.08 Gram, Paint Binder(Gloss) 318.27 Gram, Paint Harnder 813.35 Gram, Paint Thinner 318.27 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 43,845.05"
BS-SM-16150,19.17,8.64,11089.50,"Paint Epoxy Primer 905.56 Gram, Epoxy Thinner 191.32 Gram, Epoxy Hardner 178.56 Gram, Paint Mixing 601.06 Gram, Paint Matt agent(Matt) 145.53 Gram, Paint Harnder 145.53 Gram, Paint Thinner 117.81 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 11,089.50"
BS-SM-16246,31.65,18.49,20459.75,"Paint Epoxy Primer 2283.54 Gram, Epoxy Thinner 482.44 Gram, Epoxy Hardner 450.28 Gram, Paint Mixing 733.96 Gram, Paint Matt agent(Matt) 366.98 Gram, Paint Harnder 366.98 Gram, Paint Thinner 297.08 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 20,459.75"
BS-ET-16258,13.37,3.89,4069.63,"Paint Epoxy Primer 454.22 Gram, Epoxy Thinner 95.96 Gram, Epoxy Hardner 89.56 Gram, Paint Mixing 145.99 Gram, Paint Matt agent(Matt) 73 Gram, Paint Harnder 73 Gram, Paint Thinner 59.09 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,069.63"
BS-ET-UV-16266,0.56,0.51,,
BS-ET-16269,10.56,1.3,1973.20,"Paint Epoxy Primer 172.49 Gram, Epoxy Thinner 36.44 Gram, Epoxy Hardner 34.01 Gram, Paint Mixing 100 Gram, Paint Matt agent(Matt) 27.72 Gram, Paint Harnder 27.72 Gram, Paint Thinner 22.44 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,973.20"
BS-LHET-298,2.88,2.88,3008.43,"Paint Epoxy Primer 335.78 Gram, Epoxy Thinner 70.94 Gram, Epoxy Hardner 66.21 Gram, Paint Mixing 107.92 Gram, Paint Matt agent(Matt) 53.96 Gram, Paint Harnder 53.96 Gram, Paint Thinner 43.68 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 3,008.43"
BS-LHET-303,4,4,2833.28,"Paint Epoxy Primer 316.23 Gram, Epoxy Thinner 66.81 Gram, Epoxy Hardner 62.35 Gram, Paint Mixing 101.64 Gram, Paint Matt agent(Matt) 50.82 Gram, Paint Harnder 50.82 Gram, Paint Thinner 41.14 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 2,833.28"
BS-SI-9681-B,4.58,1.2,,
BS-SI-15936,8.63,4.71,4192.40,"Paint Epoxy Primer 467.92 Gram, Epoxy Thinner 98.86 Gram, Epoxy Hardner 92.27 Gram, Paint Mixing 150.4 Gram, Paint Matt agent(Matt) 75.2 Gram, Paint Harnder 75.2 Gram, Paint Thinner 60.87 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,192.40"
BS-QS-16262,8.5,2.05,,
BS-SI-15869,18.13,0.85,1973.20,"Paint Epoxy Primer 172.49 Gram, Epoxy Thinner 36.44 Gram, Epoxy Hardner 34.01 Gram, Paint Mixing 100 Gram, Paint Matt agent(Matt) 27.72 Gram, Paint Harnder 27.72 Gram, Paint Thinner 22.44 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,973.20"
BS-QS-16264,3.9,5.04,1760.07,"Paint Epoxy Primer 196.44 Gram, Epoxy Thinner 41.5 Gram, Epoxy Hardner 38.74 Gram, Paint Mixing 63.14 Gram, Paint Matt agent(Matt) 31.57 Gram, Paint Harnder 31.57 Gram, Paint Thinner 25.56 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,760.07"
BS-QS-16281,7.33,1.2,1396.04,"Paint Epoxy Primer 155.81 Gram, Epoxy Thinner 32.92 Gram, Epoxy Hardner 30.72 Gram, Paint Mixing 50.08 Gram, Paint Matt agent(Matt) 25.04 Gram, Paint Harnder 25.04 Gram, Paint Thinner 20.27 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,396.04"
BS-QS-16261,4,3.14,2463.88,"Paint Epoxy Primer 275 Gram, Epoxy Thinner 58.1 Gram, Epoxy Hardner 54.22 Gram, Paint Mixing 88.39 Gram, Paint Matt agent(Matt) 44.19 Gram, Paint Harnder 44.19 Gram, Paint Thinner 35.78 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 2,463.88"
BS-ET-16285,14.17,5.27,4625.12,"Paint Epoxy Primer 516.22 Gram, Epoxy Thinner 109.06 Gram, Epoxy Hardner 101.79 Gram, Paint Mixing 165.92 Gram, Paint Matt agent(Matt) 82.96 Gram, Paint Harnder 82.96 Gram, Paint Thinner 67.16 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,625.12"
BS-US-500069 A,21,25.25,25740.36,"Paint Epoxy Primer 2712.87 Gram, Epoxy Thinner 573.14 Gram, Epoxy Hardner 534.93 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 934.24 Gram, Paint Matt agent(Matt) 290.65 Gram, Paint Binder(Gloss) 186.85 Gram, Paint Harnder 477.5 Gram, Paint Thinner 186.85 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 25,740.36"
BS-US-500069 B,30,25.25,37304.77,"Paint Epoxy Primer 3931.68 Gram, Epoxy Thinner 830.64 Gram, Epoxy Hardner 775.26 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 1353.97 Gram, Paint Matt agent(Matt) 421.23 Gram, Paint Binder(Gloss) 270.79 Gram, Paint Harnder 692.03 Gram, Paint Thinner 270.79 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 37,304.77"
BS-ET-16152,13.25,6.89,5047.54,"Paint Epoxy Primer 563.36 Gram, Epoxy Thinner 119.02 Gram, Epoxy Hardner 111.09 Gram, Paint Mixing 181.07 Gram, Paint Matt agent(Matt) 90.54 Gram, Paint Harnder 90.54 Gram, Paint Thinner 73.29 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,047.54"
BS-LHET-306,0.97,0.76,3343.00,"Epoxy Primer 373.15 Gram, Epoxy Thinner 78.83 Gram, Epoxy Hardner 73.58 Gram, Paint Mixing 119.94 Gram, Paint Matt agent(Matt) 59.97 Gram, Paint Harnder 59.97 Gram, Paint Thinner 48.55 Gram, Paint Mixing, Paint Binder(Gloss), Paint Harnder, Paint Thinner, Paint Miscellaneous cost 1.00 | Total: 3,343.00"
