code,hex,lab_l,lab_a,lab_b
"PANTONE 10225 C",#6A599A,42,22,-33
"PANTONE 10226 C",#9394AD,62,5,-13
"PANTONE 10227 C",#8889A7,58,6,-16
"PANTONE 10228 C",#8280A6,55,9,-20
"PANTONE 10229 C",#7373A1,50,11,-25
"PANTONE 10230 C",#68689D,46,13,-29
"PANTONE 10231 C",#585B9A,41,16,-35
"PANTONE 10232 C",#7E82A3,55,6,-18
"PANTONE 10233 C",#6E759C,50,7,-22
"PANTONE 10234 C",#616495,44,11,-27
"PANTONE 10235 C",#53578E,39,13,-31
"PANTONE 10236 C",#494A88,34,17,-35
"PANTONE 10237 C",#4B4F8B,36,15,-34
"PANTONE 10238 C",#838AA9,58,4,-17
"PANTONE 10239 C",#757FAC,54,7,-25
"PANTONE 10240 C",#6070A4,48,8,-30
"PANTONE 10241 C",#52639F,43,11,-35
"PANTONE 10242 C",#41559E,38,15,-42
"PANTONE 10243 C",#304897,33,18,-46
"PANTONE 10244 C",#6587A9,55,-3,-22
"PANTONE 10245 C",#507AA8,50,-1,-29
"PANTONE 10246 C",#346BA4,44,1,-36
"PANTONE 10247 C",#1B5E9D,39,3,-40
"PANTONE 10248 C",#005199,34,7,-46
"PANTONE 10249 C",#004494,29,12,-51
"PANTONE 10250 C",#8D9DAE,64,-2,-11
"PANTONE 10251 C",#7C93AC,60,-2,-16
"PANTONE 10252 C",#6886AB,55,-1,-23
"PANTONE 10253 C",#5A7BA9,51,1,-28
"PANTONE 10254 C",#436FA6,46,2,-34
"PANTONE 10255 C",#2D62A2,41,5,-40
"PANTONE 10256 C",#7594AC,60,-5,-16
"PANTONE 10257 C",#658AAC,56,-4,-22
"PANTONE 10258 C",#4F80AC,52,-4,-28
"PANTONE 10259 C",#3977A8,48,-4,-32
"PANTONE 10260 C",#1D6CA9,44,-1,-39
"PANTONE 10261 C",#0060A5,39,1,-45
"PANTONE 10262 C",#889CA5,63,-5,-7
"PANTONE 10263 C",#738D9A,57,-6,-10
"PANTONE 10264 C",#5C7E91,51,-7,-14
"PANTONE 10265 C",#4C7286,46,-8,-15
"PANTONE 10266 C",#3A667E,41,-8,-18
"PANTONE 10267 C",#255B71,36,-10,-18
"PANTONE 10268 C",#6D9AAD,61,-10,-15
"PANTONE 10269 C",#5291AD,57,-12,-21
"PANTONE 10270 C",#3D89AD,54,-12,-26
"PANTONE 10271 C",#0980A9,50,-14,-30
"PANTONE 10272 C",#0079AB,47,-14,-36
"PANTONE 10273 C",#006EA9,43,-9,-41
"PANTONE 10274 C",#6EA0AF,63,-13,-13
"PANTONE 10275 C",#549AB0,60,-16,-18
"PANTONE 10276 C",#3494AE,57,-19,-22
"PANTONE 10277 C",#008EAD,54,-23,-26
"PANTONE 10278 C",#0089AF,52,-22,-30
"PANTONE 10279 C",#0085B3,51,-18,-34
"PANTONE 10280 C",#779FA6,63,-12,-8
"PANTONE 10281 C",#6196A1,59,-15,-11
"PANTONE 10282 C",#49909C,56,-19,-13
"PANTONE 10283 C",#2F8A98,53,-22,-15
"PANTONE 10284 C",#00818F,49,-26,-16
"PANTONE 10285 C",#00798A,46,-25,-18
"PANTONE 10286 C",#74A3A7,64,-15,-7
"PANTONE 10287 C",#61A0A5,62,-19,-9
"PANTONE 10288 C",#409EA5,60,-25,-12
"PANTONE 10289 C",#149AA1,58,-30,-13
"PANTONE 10290 C",#00969D,56,-33,-14
"PANTONE 10291 C",#009197,54,-32,-13
"PANTONE 10292 C",#7BA9A5,66,-16,-3
"PANTONE 10293 C",#67A6A0,64,-22,-3
"PANTONE 10294 C",#52A39A,62,-27,-3
"PANTONE 10295 C",#32A193,60,-34,-2
