code,hex,lab_l,lab_a,lab_b
"PANTONE 2055 C",#8F5E79,46,24,-7
"PANTONE 2056 C",#7D4965,38,26,-7
"PANTONE 2057 C",#CE95B8,68,27,-10
"PANTONE 2058 C",#B787AD,62,25,-13
"PANTONE 2059 C",#B67CA2,59,28,-11
"PANTONE 206 C",#D00838,44,69,32
"PANTONE 2060 C",#C76DA8,58,43,-16
"PANTONE 2061 C",#AB5489,48,42,-13
"PANTONE 2062 C",#B2488D,47,51,-17
"PANTONE 2063 C",#A4347C,41,53,-16
"PANTONE 2064 C",#DDA4D6,74,29,-17
"PANTONE 2065 C",#D9A9DC,75,26,-19
"PANTONE 2066 C",#CE91D3,68,34,-25
"PANTONE 2067 C",#B96CC1,57,44,-32
"PANTONE 2068 C",#AB54B7,50,50,-37
"PANTONE 2069 C",#9E40AA,44,54,-39
"PANTONE 207 C",#A70433,35,59,22
"PANTONE 2070 C",#882195,35,57,-41
"PANTONE 2071 C",#C3B5DE,76,13,-19
"PANTONE 2072 C",#B198D4,67,21,-27
"PANTONE 2073 C",#A997D4,66,19,-29
"PANTONE 2074 C",#8C6CBF,52,30,-39
"PANTONE 2075 C",#8069BD,50,28,-41
"PANTONE 2076 C",#7B5CB5,46,32,-43
"PANTONE 2077 C",#5F43A3,36,35,-48
"PANTONE 2078 C",#B29FBB,68,12,-12
"PANTONE 2079 C",#967DA4,56,17,-17
"PANTONE 208 C",#872141,31,45,6
"PANTONE 2080 C",#9375AB,54,22,-24
"PANTONE 2081 C",#80609A,46,25,-27
"PANTONE 2082 C",#724F91,40,28,-31
"PANTONE 2083 C",#8A63C8,50,37,-47
"PANTONE 2084 C",#743BB2,38,48,-54
"PANTONE 2085 C",#D9CDE6,84,9,-11
"PANTONE 2086 C",#998ECD,62,18,-31
"PANTONE 2087 C",#917FD5,58,26,-42
"PANTONE 2088 C",#745FC6,47,33,-51
"PANTONE 2089 C",#604CBB,40,37,-56
"PANTONE 209 C",#71293F,28,34,3
"PANTONE 2090 C",#533DB4,35,41,-60
"PANTONE 2091 C",#341CA0,24,48,-66
"PANTONE 2092 C",#B0ACD7,72,10,-21
"PANTONE 2093 C",#A39BC4,66,11,-20
"PANTONE 2094 C",#8781AE,56,12,-23
"PANTONE 2095 C",#6D66B1,47,21,-39
"PANTONE 2096 C",#5851A4,39,25,-44
"PANTONE 2097 C",#5049BC,38,36,-60
"PANTONE 2098 C",#2B2BA9,27,43,-67
"PANTONE 2099 C",#ADA3C9,69,11,-18
"PANTONE 210 C",#F7A2C9,76,37,-7
"PANTONE 2100 C",#9A92CA,63,15,-28
"PANTONE 2101 C",#7D77CF,54,24,-45
"PANTONE 2102 C",#565BAF,42,22,-46
"PANTONE 2103 C",#474DA8,37,25,-50
"PANTONE 2104 C",#363B9B,30,29,-53
"PANTONE 2105 C",#27257E,21,31,-50
"PANTONE 2106 C",#ABB6CE,74,1,-13
"PANTONE 2107 C",#8999BA,63,2,-19
"PANTONE 2108 C",#7181A8,54,4,-23
"PANTONE 2109 C",#5E6F99,47,5,-25
"PANTONE 211 C",#F380B6,68,50,-8
"PANTONE 2110 C",#53628E,42,6,-26
"PANTONE 2111 C",#394F7E,34,6,-29
"PANTONE 2112 C",#272167,18,25,-40
"PANTONE 2113 C",#9CB0E3,72,5,-28
"PANTONE 2114 C",#758DC6,59,6,-32
"PANTONE 2115 C",#617ABB,52,9,-37
"PANTONE 2116 C",#4E6BB2,46,11,-41
"PANTONE 2117 C",#2D4B9B,34,17,-47
"PANTONE 2118 C",#233778,25,16,-40
"PANTONE 2119 C",#1E2F63,21,12,-33
"PANTONE 212 C",#F05399,59,66,-5
"PANTONE 2120 C",#B8CAE9,81,0,-17
"PANTONE 2121 C",#82ACD9,69,-3,-27
"PANTONE 2122 C",#92AFE4,71,3,-30
"PANTONE 2123 C",#6794DB,61,5,-41
"PANTONE 2124 C",#5B7ED4,54,13,-48
"PANTONE 2125 C",#2F64C8,44,18,-57
"PANTONE 2126 C",#003EB2,30,29,-67
"PANTONE 2127 C",#B4C9E0,80,-2,-14
"PANTONE 2128 C",#8EB7E6,73,-2,-28
"PANTONE 2129 C",#418FDC,58,1,-46
"PANTONE 213 C",#E52479,51,74,2
"PANTONE 2130 C",#357AD3,51,9,-52
"PANTONE 2131 C",#005DBE,40,14,-58
"PANTONE 2132 C",#005AC1,38,12,-63
"PANTONE 2133 C",#005AA7,37,4,-49
"PANTONE 2134 C",#89A5CE,67,0,-24
"PANTONE 2135 C",#698DBF,58,1,-30
"PANTONE 2136 C",#7B95B8,61,-1,-21
"PANTONE 2137 C",#6281A9,53,0,-25
"PANTONE 2138 C",#5D7793,49,-2,-18
"PANTONE 2139 C",#3D6895,43,-1,-29
"PANTONE 214 C",#CF1D6B,46,69,3
"PANTONE 2140 C",#265582,35,0,-30
"PANTONE 2141 C",#7FBDE7,74,-9,-27
"PANTONE 2142 C",#71AEE4,69,-5,-33
"PANTONE 2143 C",#0688CB,54,-6,-43
"PANTONE 2144 C",#0069B8,42,-1,-51
"PANTONE 2145 C",#0052A8,34,8,-55
"PANTONE 2146 C",#003A90,25,15,-55
"PANTONE 2147 C",#002978,18,17,-51
"PANTONE 2148 C",#5493B3,58,-11,-23
"PANTONE 2149 C",#3C83AA,52,-10,-27
"PANTONE 215 C",#AB1A58,38,59,2
"PANTONE 2150 C",#19759D,46,-11,-29
"PANTONE 2151 C",#006CA2,43,-7,-37
"PANTONE 2152 C",#006690,40,-11,-31
"PANTONE 2153 C",#00587E,34,-12,-29
"PANTONE 2154 C",#004982,29,-1,-40
"PANTONE 2155 C",#98B8CC,73,-6,-14
"PANTONE 2156 C",#83A8C3,67,-6,-18
"PANTONE 2157 C",#6D95B3,60,-6,-20
"PANTONE 2158 C",#5181A5,52,-6,-24
"PANTONE 2159 C",#41779C,48,-7,-25
"PANTONE 216 C",#7B2346,29,41,0
"PANTONE 2160 C",#316B92,43,-6,-27
"PANTONE 2161 C",#0B5A81,36,-7,-28
"PANTONE 2162 C",#9CA7B4,68,-1,-8
"PANTONE 2163 C",#819CAF,63,-5,-13
"PANTONE 2164 C",#7894A9,60,-5,-14
"PANTONE 2165 C",#628398,53,-6,-15
"PANTONE 2166 C",#4F748D,47,-6,-18
"PANTONE 2167 C",#4A6F88,45,-6,-18
"PANTONE 2168 C",#164A5D,29,-10,-16
"PANTONE 2169 C",#76B0D1,69,-10,-23
"PANTONE 217 C",#E6BDD9,81,19,-8
"PANTONE 2170 C",#4F9BC6,61,-11,-29
"PANTONE 2171 C",#1AA2E1,63,-12,-41
"PANTONE 2172 C",#007ED1,50,-3,-53
"PANTONE 2173 C",#0085D3,52,-8,-51
"PANTONE 2174 C",#0078CD,48,-2,-54
"PANTONE 2175 C",#006DC6,44,2,-56
"PANTONE 2176 C",#A1B7C1,73,-5,-8
"PANTONE 2177 C",#7BA1AE,64,-10,-11
"PANTONE 2178 C",#658F9D,57,-11,-12
"PANTONE 2179 C",#4A7B8C,49,-12,-14
"PANTONE 218 C",#E471B3,63,52,-14
"PANTONE 2180 C",#356D7E,43,-13,-15
"PANTONE 2181 C",#205C6B,36,-14,-14
"PANTONE 2182 C",#024B5D,29,-13,-16
"PANTONE 2183 C",#0093BD,56,-22,-32
"PANTONE 2184 C",#0085D3,52,-8,-51
"PANTONE 2185 C",#0077A5,46,-16,-34
"PANTONE 2186 C",#004A87,30,0,-41
"PANTONE 2187 C",#004776,28,-4,-34
"PANTONE 2188 C",#004369,26,-7,-29
"PANTONE 2189 C",#003349,19,-9,-19
"PANTONE 219 C",#D92483,49,72,-7
"PANTONE 2190 C",#39B8E6,70,-19,-33
"PANTONE 2191 C",#00A4E1,62,-20,-43
"PANTONE 2192 C",#0091D9,56,-12,-48
"PANTONE 2193 C",#0091D9,56,-12,-48
"PANTONE 2194 C",#0088D6,53,-9,-51
"PANTONE 2195 C",#0079CD,48,-3,-54
"PANTONE 2196 C",#006AAF,42,-5,-46
"PANTONE 2197 C",#63D3E8,79,-26,-20
"PANTONE 2198 C",#24CAE4,75,-31,-24
"PANTONE 2199 C",#00BADC,69,-32,-29
"PANTONE 220 C",#A70B51,36,60,4
"PANTONE 2200 C",#00A9C6,63,-30,-26
"PANTONE 2201 C",#00AED6,65,-28,-32
"PANTONE 2202 C",#00A6DF,63,-21,-40
"PANTONE 2203 C",#0088AF,52,-21,-30
"PANTONE 2204 C",#A8CDD7,80,-10,-9
"PANTONE 2205 C",#81B3C4,70,-12,-14
"PANTONE 2206 C",#709FB3,63,-11,-15
"PANTONE 2207 C",#5D9CB2,61,-14,-18
"PANTONE 2208 C",#4989A3,54,-13,-20
"PANTONE 2209 C",#3F87A0,53,-15,-20
"PANTONE 221 C",#910A46,31,54,3
"PANTONE 2210 C",#005073,31,-11,-27
"PANTONE 2211 C",#699BA6,61,-14,-11
"PANTONE 2212 C",#488592,52,-16,-13
"PANTONE 2213 C",#29727B,44,-19,-12
"PANTONE 2214 C",#226F7A,43,-19,-13
"PANTONE 2215 C",#255664,34,-12,-13
"PANTONE 2216 C",#284E5A,31,-10,-11
"PANTONE 2217 C",#003C42,22,-17,-9
"PANTONE 2218 C",#6BB0BE,68,-18,-14
"PANTONE 2219 C",#4FA4B4,63,-21,-16
"PANTONE 222 C",#6A1E44,25,37,-5
"PANTONE 2220 C",#3997A8,58,-22,-17
"PANTONE 2221 C",#068B9E,53,-24,-19
"PANTONE 2222 C",#008398,50,-24,-20
"PANTONE 2223 C",#00768D,45,-23,-21
"PANTONE 2224 C",#006C82,41,-21,-21
"PANTONE 2225 C",#6CD6E3,80,-27,-16
"PANTONE 2226 C",#1DCBDA,75,-35,-19
"PANTONE 2227 C",#4BBDCA,71,-28,-16
"PANTONE 2228 C",#00A6BF,62,-31,-24
"PANTONE 2229 C",#009EB7,59,-29,-24
"PANTONE 223 C",#EC99D0,73,39,-15
"PANTONE 2230 C",#008DA2,53,-27,-21
"PANTONE 2231 C",#007C92,47,-24,-21
"PANTONE 2232 C",#6BB1B5,68,-21,-9
"PANTONE 2233 C",#50A8B0,64,-24,-12
"PANTONE 2234 C",#43A0A8,61,-25,-12
"PANTONE 2235 C",#08959E,56,-29,-14
"PANTONE 2236 C",#0A919E,55,-27,-16
"PANTONE 2237 C",#00858E,50,-29,-14
"PANTONE 2238 C",#006976,40,-23,-15
"PANTONE 2239 C",#00D0B7,75,-50,0
"PANTONE 224 C",#E971BC,64,55,-18
"PANTONE 2240 C",#00C1A2,70,-49,4
"PANTONE 2241 C",#57A395,62,-27,0
"PANTONE 2242 C",#01A578,60,-47,13
"PANTONE 2243 C",#00957C,55,-41,4
"PANTONE 2244 C",#12806F,48,-33,1
"PANTONE 2245 C",#0D8556,49,-42,17
"PANTONE 2246 C",#A8D6BE,82,-20,7
"PANTONE 2247 C",#77BF9A,72,-31,12
"PANTONE 2248 C",#73B790,69,-30,13
"PANTONE 2249 C",#5DAA83,64,-33,13
"PANTONE 225 C",#DF2695,51,75,-15
"PANTONE 2250 C",#0BB176,64,-52,20
"PANTONE 2251 C",#10AB6F,62,-51,21
"PANTONE 2252 C",#1FA64D,60,-54,36
"PANTONE 2253 C",#BFEACA,89,-20,11
"PANTONE 2254 C",#ADDDB3,84,-24,16
"PANTONE 2255 C",#8AD197,78,-34,22
"PANTONE 2256 C",#5CC273,71,-47,31
"PANTONE 2257 C",#22AC52,62,-55,36
"PANTONE 2258 C",#1B8425,48,-48,41
"PANTONE 2259 C",#147026,41,-42,33
"PANTONE 226 C",#CE0F6D,45,71,0
"PANTONE 2260 C",#B5CDAE,80,-14,13
"PANTONE 2261 C",#9CB993,72,-17,16
"PANTONE 2262 C",#8DAB89,67,-17,14
"PANTONE 2263 C",#769770,59,-19,17
"PANTONE 2264 C",#6E9662,58,-24,23
"PANTONE 2265 C",#5D7D52,49,-20,20
"PANTONE 2266 C",#375628,33,-21,23
"PANTONE 2267 C",#9EDF99,83,-34,28
"PANTONE 2268 C",#7ED87E,79,-45,36
"PANTONE 2269 C",#85CA6E,75,-39,39
"PANTONE 227 C",#A90B60,37,62,-4
"PANTONE 2270 C",#3FC650,71,-60,48
"PANTONE 2271 C",#2DB937,66,-61,53
"PANTONE 2272 C",#24981D,55,-54,51
"PANTONE 2273 C",#297129,42,-38,33
"PANTONE 2274 C",#D0DCB3,86,-11,19
"PANTONE 2275 C",#C9DC97,85,-18,32
"PANTONE 2276 C",#8FA750,65,-22,42
"PANTONE 2277 C",#5F9522,56,-36,51
"PANTONE 2278 C",#588025,49,-29,43
"PANTONE 2279 C",#627D2C,49,-23,40
"PANTONE 228 C",#8A1558,31,52,-9
"PANTONE 2280 C",#506921,41,-21,36
"PANTONE 2281 C",#DFE99F,90,-15,35
"PANTONE 2282 C",#CCE797,88,-22,36
"PANTONE 2283 C",#B0E164,84,-35,55
"PANTONE 2284 C",#BBD681,82,-23,39
"PANTONE 2285 C",#9DD84E,80,-40,60
"PANTONE 2286 C",#85C915,74,-45,71
"PANTONE 2287 C",#6AC315,71,-52,68
"PANTONE 2288 C",#D1E37C,87,-21,48
"PANTONE 2289 C",#CDD97D,84,-18,44
"PANTONE 229 C",#662345,25,34,-6
"PANTONE 2290 C",#B5DA28,82,-34,75
"PANTONE 2291 C",#B1D41B,80,-33,76
"PANTONE 2292 C",#9DC71D,75,-35,71
"PANTONE 2293 C",#95C212,73,-36,71
"PANTONE 2294 C",#80A90D,64,-33,64
"PANTONE 2295 C",#E7EB8B,91,-15,46
"PANTONE 2296 C",#DFE868,89,-20,60
"PANTONE 2297 C",#C9DD20,84,-27,79
"PANTONE 2298 C",#BDDB59,83,-28,59
"PANTONE 2299 C",#ADD139,79,-32,67
"PANTONE 230 C",#F3A7D7,77,35,-13
"PANTONE 2300 C",#B0C244,75,-23,59
"PANTONE 2301 C",#99AD21,67,-24,63
"PANTONE 2302 C",#B5B866,73,-13,41
"PANTONE 2303 C",#A5B258,70,-18,44
"PANTONE 2304 C",#A6AB4F,68,-15,46
"PANTONE 2305 C",#A5A611,66,-16,66
"PANTONE 2306 C",#868C27,56,-15,50
"PANTONE 2307 C",#6E6E17,45,-11,45
"PANTONE 2308 C",#61541F,36,-2,32
"PANTONE 2309 C",#E9CDB4,84,6,16
"PANTONE 231 C",#EF7BC8,67,54,-20
"PANTONE 2310 C",#DABFA8,79,6,15
"PANTONE 2311 C",#CEA686,71,10,22
"PANTONE 2312 C",#B89B82,66,7,17
"PANTONE 2313 C",#C69369,65,14,30
"PANTONE 2314 C",#AD7545,54,17,35
"PANTONE 2315 C",#954A12,40,28,44
"PANTONE 2316 C",#BD9A7B,66,9,21
"PANTONE 2317 C",#B8865E,60,14,29
"PANTONE 2318 C",#A6744A,53,15,31
"PANTONE 2319 C",#8F5D31,44,16,33
"PANTONE 232 C",#E743AB,56,71,-20
"PANTONE 2320 C",#744826,35,15,28
"PANTONE 2321 C",#705039,37,10,19
"PANTONE 2322 C",#4F3625,25,9,15
"PANTONE 2323 C",#B7B199,72,-2,13
"PANTONE 2324 C",#B6A386,68,2,18
"PANTONE 2325 C",#A29175,61,2,17
"PANTONE 2326 C",#8D7C60,53,2,18
"PANTONE 2327 C",#847959,51,-1,19
"PANTONE 2328 C",#7B684B,45,3,19
"PANTONE 2329 C",#69573B,38,3,19
"PANTONE 233 C",#C5147E,44,70,-12
"PANTONE 2330 C",#CECCC8,82,0,2
"PANTONE 2331 C",#ADA7A7,69,2,1
"PANTONE 2332 C",#8A8985,57,0,2
"PANTONE 2333 C",#736F6C,47,1,2
"PANTONE 2334 C",#6A6462,43,2,2
"PANTONE 2335 C",#5F4F47,35,5,7
"PANTONE 2336 C",#4E4B48,32,1,2
"PANTONE 2337 C",#FAC1B9,83,19,12
"PANTONE 2338 C",#E0A59E,73,21,12
"PANTONE 2339 C",#F09592,71,34,16
"PANTONE 234 C",#A20D68,36,61,-11
"PANTONE 2340 C",#CE6F76,58,38,13
"PANTONE 2341 C",#B56D6F,54,29,11
"PANTONE 2342 C",#B55C64,50,37,12
"PANTONE 2343 C",#A85767,47,35,6
"PANTONE 2344 C",#F37F6F,66,43,29
"PANTONE 2345 C",#FF6F6A,65,55,31
"PANTONE 2346 C",#FF5B6A,62,64,27
"PANTONE 2347 C",#E50900,48,73,63
"PANTONE 2348 C",#E7554D,56,56,35
"PANTONE 2349 C",#CE3803,47,57,58
"PANTONE 235 C",#831055,29,51,-10
"PANTONE 2350 C",#B12319,39,55,42
"PANTONE 2351 C",#B97DB3,60,32,-19
"PANTONE 2352 C",#B267A6,54,39,-21
"PANTONE 2353 C",#BB51A5,51,53,-25
"PANTONE 2354 C",#90528D,44,35,-22
"PANTONE 2355 C",#83107A,31,56,-31
"PANTONE 2356 C",#6E0A62,25,49,-25
"PANTONE 2357 C",#611644,22,38,-10
"PANTONE 2358 C",#A9A4AF,68,4,-5
"PANTONE 2359 C",#7C7486,50,7,-9
"PANTONE 236 C",#EFA8DC,77,34,-16
"PANTONE 2360 C",#777B90,52,3,-12
"PANTONE 2361 C",#6A718D,48,4,-16
"PANTONE 2362 C",#686C84,46,4,-14
"PANTONE 2363 C",#5E5F76,41,5,-13
"PANTONE 2364 C",#635B6D,40,7,-9
"PANTONE 2365 C",#E9BBE2,81,23,-13
"PANTONE 2366 C",#546FCD,49,19,-52
"PANTONE 2367 C",#364FB1,37,24,-55
"PANTONE 2368 C",#2B4DBE,37,29,-63
"PANTONE 2369 C",#0044B7,33,29,-65
"PANTONE 237 C",#E888CF,69,46,-21
"PANTONE 2370 C",#002E94,24,30,-59
"PANTONE 2371 C",#0C148E,18,44,-65
"PANTONE 2372 C",#022278,18,27,-51
"PANTONE 2373 C",#6A84A0,54,-2,-18
"PANTONE 2374 C",#456080,40,-1,-21
"PANTONE 2375 C",#DF7ACD,65,50,-26
"PANTONE 2376 C",#495B71,38,-1,-15
"PANTONE 2377 C",#22556F,34,-8,-20
"PANTONE 2378 C",#304B68,31,-1,-20
"PANTONE 2379 C",#364658,29,-1,-13
"PANTONE 238 C",#DF61C0,60,60,-26
"PANTONE 2380 C",#21344A,21,0,-16
"PANTONE 2381 C",#4296DE,60,-2,-44
"PANTONE 2382 C",#008BD7,54,-10,-50
"PANTONE 2383 C",#0077B1,47,-9,-39
"PANTONE 2384 C",#0063A0,39,-6,-42
"PANTONE 2385 C",#D03FB2,52,68,-31
"PANTONE 2386 C",#006BC4,44,5,-55
"PANTONE 2387 C",#0066C9,42,8,-61
"PANTONE 2388 C",#0053B4,35,11,-60
"PANTONE 2389 C",#37A1C8,62,-17,-29
"PANTONE 239 C",#D844B1,54,68,-27
"PANTONE 2390 C",#007CAB,48,-16,-34
"PANTONE 2391 C",#0080A7,49,-20,-30
"PANTONE 2392 C",#006885,40,-17,-24
"PANTONE 2393 C",#0092CB,56,-18,-40
"PANTONE 2394 C",#008CCD,54,-14,-44
"PANTONE 2395 C",#C215A0,45,73,-31
"PANTONE 2396 C",#009AB4,58,-28,-24
"PANTONE 2397 C",#00B6BF,67,-38,-16
"PANTONE 2398 C",#00BAB6,68,-41,-10
"PANTONE 2399 C",#00ACA0,63,-41,-5
"PANTONE 240 C",#C2319B,47,66,-25
"PANTONE 2400 C",#00AF96,64,-45,2
"PANTONE 2401 C",#2AA79A,62,-36,-3
"PANTONE 2402 C",#009E87,58,-41,2
"PANTONE 2403 C",#00897C,51,-36,-2
"PANTONE 2404 C",#A5B99D,73,-12,12
"PANTONE 2405 C",#AD128D,40,67,-28
"PANTONE 2406 C",#819D87,62,-14,8
"PANTONE 2407 C",#6C8E76,56,-17,9
"PANTONE 2408 C",#497A55,47,-25,15
"PANTONE 2409 C",#4E644A,40,-14,12
"PANTONE 241 C",#AB1E83,40,63,-22
"PANTONE 2410 C",#455A3F,36,-14,13
"PANTONE 2411 C",#1F4324,25,-21,15
"PANTONE 2412 C",#4CD599,77,-51,19
"PANTONE 2413 C",#34B792,67,-44,9
"PANTONE 2414 C",#17BD82,68,-53,19
"PANTONE 2415 C",#9D0F7E,36,62,-25
"PANTONE 2416 C",#13B177,64,-51,19
"PANTONE 2417 C",#289B6B,57,-43,16
"PANTONE 2418 C",#148640,49,-46,29
"PANTONE 2419 C",#017C5B,46,-38,10
"PANTONE 242 C",#7E2660,31,44,-14
"PANTONE 2420 C",#28C462,70,-60,38
"PANTONE 2421 C",#42B511,65,-58,63
"PANTONE 2422 C",#25A731,60,-57,49
"PANTONE 2423 C",#27AA1F,61,-59,56
"PANTONE 2424 C",#399D0C,57,-52,57
"PANTONE 2425 C",#800D66,29,53,-21
"PANTONE 2426 C",#208C1B,51,-51,48
"PANTONE 2427 C",#125F20,35,-37,29
"PANTONE 2428 C",#E2882F,65,28,59
"PANTONE 2429 C",#C65E1D,52,38,53
"PANTONE 243 C",#E5B9E3,80,23,-15
"PANTONE 2430 C",#DAA27A,71,16,29
"PANTONE 2431 C",#E49357,68,25,44
"PANTONE 2432 C",#E18B5A,66,28,40
"PANTONE 2433 C",#DF7B50,62,35,40
"PANTONE 2434 C",#E77960,63,40,33
"PANTONE 2435 C",#C3705B,56,31,26
"PANTONE 2436 C",#B8543E,48,39,32
"PANTONE 2437 C",#F8C0A2,82,16,23
"PANTONE 2438 C",#E5A184,72,22,25
"PANTONE 2439 C",#C68674,62,22,20
"PANTONE 244 C",#E29CDC,73,36,-22
"PANTONE 2440 C",#B6938C,64,12,9
"PANTONE 2441 C",#A76E5E,52,21,18
"PANTONE 2442 C",#A16157,48,25,17
"PANTONE 2443 C",#903A21,36,35,33
"PANTONE 2444 C",#DFA59C,73,20,13
"PANTONE 2445 C",#DE898E,66,33,11
"PANTONE 2446 C",#D0878E,64,29,8
"PANTONE 2447 C",#B06F78,54,27,6
"PANTONE 2448 C",#DD6354,57,47,32
"PANTONE 2449 C",#472428,19,17,5
"PANTONE 245 C",#D882D3,66,45,-28
"PANTONE 2450 C",#D84987,53,61,-4
"PANTONE 2451 C",#B64470,46,50,-1
"PANTONE 2452 C",#C43B70,47,58,1
"PANTONE 2453 C",#B699C5,67,19,-19
"PANTONE 2454 C",#007FA3,49,-17,-28
"PANTONE 2455 C",#92BFB5,74,-17,0
"PANTONE 2456 C",#259C8A,58,-36,0
"PANTONE 2457 C",#8BAA9A,67,-14,5
"PANTONE 2458 C",#689883,59,-21,6
"PANTONE 2459 C",#54AD94,65,-33,5
"PANTONE 246 C",#C32FB2,48,70,-37
"PANTONE 2460 C",#66B0AB,67,-24,-5
"PANTONE 2461 C",#149593,56,-32,-8
"PANTONE 2462 C",#588D85,55,-20,-1
"PANTONE 2463 C",#597571,47,-11,-1
"PANTONE 2464 C",#7EBD72,71,-35,32
"PANTONE 2465 C",#276E32,41,-36,27
"PANTONE 2466 C",#24504D,31,-16,-3
"PANTONE 2467 C",#B9916D,63,10,25
"PANTONE 2468 C",#9A694D,49,16,24
"PANTONE 2469 C",#91573C,43,21,26
"PANTONE 247 C",#B624A3,44,68,-35
"PANTONE 2470 C",#9C7E61,55,7,20
"PANTONE 2471 C",#A68878,59,9,13
"PANTONE 2472 C",#62422C,31,11,19
"PANTONE 2473 C",#C2B9BD,76,4,-1
"PANTONE 2474 C",#AFA098,67,4,6
"PANTONE 2475 C",#A38882,59,9,7
"PANTONE 2476 C",#826D6B,48,8,4
"PANTONE 2477 C",#715857,40,10,5
"PANTONE 2478 C",#4A363C,25,10,0
"PANTONE 2479 C",#403530,23,4,5
"PANTONE 248 C",#A02291,39,61,-32
"PANTONE 249 C",#802C6E,33,44,-20
"PANTONE 250 C",#E6BCE6,81,22,-15
"PANTONE 251 C",#D79CDF,72,33,-25
"PANTONE 252 C",#C467CF,58,52,-38
"PANTONE 253 C",#A627AB,42,65,-43
"PANTONE 254 C",#922495,37,58,-38
"PANTONE 255 C",#6E276C,29,41,-25
"PANTONE 256 C",#D2C0DF,80,12,-13
"PANTONE 2562 C",#D0ABE5,75,24,-24
"PANTONE 2563 C",#C5A5D7,72,21,-21
"PANTONE 2567 C",#BDA3DB,71,20,-25
"PANTONE 257 C",#C2A3D1,71,20,-19
"PANTONE 2572 C",#C08DDA,66,33,-32
"PANTONE 2573 C",#B487CE,63,30,-30
"PANTONE 2577 C",#A27ECC,59,29,-35
"PANTONE 258 C",#874B9A,42,39,-33
"PANTONE 2582 C",#A355C8,50,51,-47
"PANTONE 2583 C",#9960B3,50,38,-35
"PANTONE 2587 C",#774AAF,41,40,-47
"PANTONE 259 C",#672377,28,43,-34
"PANTONE 2592 C",#902EB5,40,60,-52
"PANTONE 2593 C",#7E379C,37,47,-42
"PANTONE 2597 C",#51148B,24,49,-53
"PANTONE 260 C",#612967,27,35,-25
"PANTONE 2602 C",#7D229E,34,56,-48
"PANTONE 2603 C",#6A2883,30,44,-38
"PANTONE 2607 C",#441078,20,44,-48
"PANTONE 261 C",#5A2B5F,26,30,-22
"PANTONE 2612 C",#702982,31,45,-36
"PANTONE 2613 C",#612476,27,41,-35
"PANTONE 2617 C",#3C1066,17,38,-41
"PANTONE 262 C",#4D2A4F,23,23,-16
"PANTONE 2622 C",#613365,29,29,-21
"PANTONE 2623 C",#5A2468,25,36,-29
"PANTONE 2627 C",#361454,15,30,-32
"PANTONE 263 C",#D2C7E8,82,10,-15
"PANTONE 2635 C",#BFB6E2,76,12,-21
"PANTONE 264 C",#B9A8E2,72,18,-27
"PANTONE 2645 C",#A298DC,66,18,-33
"PANTONE 265 C",#8468CE,51,34,-49
"PANTONE 2655 C",#8A79D3,56,27,-44
"PANTONE 266 C",#6341BC,38,44,-60
"PANTONE 2665 C",#6E59C6,45,35,-54
"PANTONE 267 C",#502B9D,29,44,-56
"PANTONE 268 C",#4D3185,28,33,-43
"PANTONE 2685 C",#1E0B72,14,40,-54
"PANTONE 269 C",#4A306F,26,26,-32
"PANTONE 2695 C",#271C48,14,18,-26
"PANTONE 270 C",#ACB4DE,74,6,-22
"PANTONE 2705 C",#9EA8E3,70,10,-31
"PANTONE 2706 C",#C8D5EB,85,0,-12
"PANTONE 2707 C",#BDD8EE,85,-4,-14
"PANTONE 2708 C",#B0CCEA,81,-3,-18
"PANTONE 271 C",#8C98D4,64,10,-32
"PANTONE 2715 C",#7B85D7,58,17,-43
"PANTONE 2716 C",#96AEE2,71,4,-29
"PANTONE 2717 C",#9FC8F0,79,-4,-24
"PANTONE 2718 C",#3B89DA,56,3,-48
"PANTONE 272 C",#6575C1,51,15,-42
"PANTONE 2725 C",#505EC6,44,26,-56
"PANTONE 2726 C",#0E60C7,42,18,-60
"PANTONE 2727 C",#0083E3,53,2,-58
"PANTONE 2728 C",#004BBA,33,19,-67
"PANTONE 273 C",#12175F,13,26,-43
"PANTONE 2735 C",#000E8A,16,45,-66
"PANTONE 2736 C",#002CAD,24,38,-74
"PANTONE 2738 C",#00128D,14,42,-71
"PANTONE 274 C",#131852,12,20,-36
"PANTONE 2745 C",#060970,12,39,-56
"PANTONE 2746 C",#00238F,19,33,-64
"PANTONE 2747 C",#001E72,14,23,-54
"PANTONE 2748 C",#001E73,14,24,-55
"PANTONE 275 C",#171A49,12,16,-30
"PANTONE 2755 C",#0D1262,12,30,-47
"PANTONE 2756 C",#00236E,16,20,-48
"PANTONE 2757 C",#002263,14,14,-44
"PANTONE 2758 C",#002263,14,14,-44
"PANTONE 276 C",#1E1D36,12,8,-16
"PANTONE 2765 C",#151847,11,16,-30
"PANTONE 2766 C",#001D4E,12,11,-33
"PANTONE 2767 C",#00294B,16,1,-25
"PANTONE 2768 C",#001F4B,12,7,-31
"PANTONE 277 C",#A2CCE9,80,-7,-19
"PANTONE 278 C",#7CBAE9,73,-7,-30
"PANTONE 279 C",#0093DF,58,-6,-48
"PANTONE 280 C",#002368,15,15,-46
"PANTONE 281 C",#00235D,14,11,-40
"PANTONE 282 C",#001F43,11,3,-27
"PANTONE 283 C",#87C2EB,76,-9,-26
